date_time_month,sentiment_weighted_agg_carosia_by_month_with_op,sentiment_agg_carosia_by_month_with_op,sentiment_agg_picault_by_month_with_op,sentiment_weighted_agg_carosia_by_month_with_sentilex,sentiment_agg_carosia_by_month_with_sentilex,sentiment_agg_picault_by_month_with_sentilex,sentiment_weighted_agg_carosia_by_month_with_vader,sentiment_agg_carosia_by_month_with_vader,sentiment_agg_picault_by_month_with_vader,normalized_sentiment_weighted_agg_carosia_by_month_with_op,normalized_sentiment_agg_carosia_by_month_with_op,normalized_sentiment_agg_picault_by_month_with_op,normalized_sentiment_weighted_agg_carosia_by_month_with_sentilex,normalized_sentiment_agg_carosia_by_month_with_sentilex,normalized_sentiment_agg_picault_by_month_with_sentilex,normalized_sentiment_weighted_agg_carosia_by_month_with_vader,normalized_sentiment_agg_carosia_by_month_with_vader,normalized_sentiment_agg_picault_by_month_with_vader
2012-10-01,0.07769423558897243,0.07458912768647281,0.10142870634223253,-0.043115438108484005,-0.03672316384180791,0.027898934514945392,-0.8259895444361464,-0.8261859582542694,-41.16404827586207,-0.0968,-0.1048,-0.4747,-0.5218,-0.774,-0.3925,-0.5247,-0.6016,-0.6241
2012-11-01,0.33709449929478136,0.3460410557184751,0.9751899286737287,0.09698996655518395,0.11604095563139932,0.10367971333529959,-0.8278335724533716,-0.8243375858684985,-39.02488413547237,0.9702,1.6943,1.2961,-0.0029,0.1441,-0.2279,-0.5316,-0.5935,-0.4415
2012-12-01,-0.019011406844106463,-0.030947775628626693,-0.11078257859926245,0.1684729064039409,0.16666666666666666,0.4033504313019682,-0.8117306299782766,-0.8143646408839779,-36.117902506007546,-0.4945,-0.8042,-0.9047,0.2619,0.4483,0.4229,-0.4717,-0.5496,-0.1934
2013-01-01,0.08167330677290836,0.08904810644831115,0.19791796628359712,-0.062460567823343846,-0.07532467532467532,-0.11982294918905338,-0.7067957249445452,-0.7054582904222451,-38.06471879286694,-0.0804,-0.0089,-0.2791,-0.5935,-1.0059,-0.7133,-0.0817,-0.0707,-0.3596
2013-02-01,0.14324880054832076,0.13562895291637386,0.4171605522501415,0.09983079526226735,0.11021814006888633,0.3717839657021502,-0.7747858017135862,-0.7744486059092801,-39.29823506366307,0.1729,0.2998,0.1652,0.0076,0.1091,0.3543,-0.3344,-0.3741,-0.4648
2013-03-01,0.1406423034330011,0.1258964143426295,0.5006571322021364,-0.14113662024840046,-0.14772277227722772,-0.2714824251500424,-0.8588018857077153,-0.8672714251611363,-44.06781996537796,0.1621,0.2353,0.3344,-0.8849,-1.441,-1.0427,-0.6466,-0.7823,-0.8719
2013-04-01,0.34207525655644244,0.32929782082324455,0.9552625687091809,-0.013740458015267175,-0.013612565445026177,0.02880170144806066,-0.800744248985115,-0.8095570282525287,-39.96458353550057,0.9907,1.5833,1.2557,-0.413,-0.6351,-0.3905,-0.4309,-0.5285,-0.5217
2013-05-01,-0.017006802721088437,-0.032825322391559206,-0.013213754823533277,-0.2638743455497382,-0.26627218934911245,-0.7413193446390571,-0.8532145623547638,-0.8537859007832899,-43.60060835065181,-0.4863,-0.8167,-0.707,-1.3396,-2.1534,-2.063,-0.6259,-0.723,-0.8321
2013-06-01,0.15956151035322777,0.1585677749360614,0.5715178513171564,0.1391957578435705,0.13401109057301294,0.2034052595321087,-0.799884825799021,-0.8005350772889417,-40.26980898876404,0.24,0.4518,0.478,0.1535,0.2521,-0.0113,-0.4277,-0.4888,-0.5478
2013-07-01,0.08745762711864406,0.10428571428571429,0.33131698838879037,-0.0226576852418861,0.005901639344262295,-0.019650673646580463,-0.851440329218107,-0.8482431558525544,-40.903678766588605,-0.0566,0.092,-0.0088,-0.4461,-0.5178,-0.4958,-0.6193,-0.6986,-0.6019
